Tercile Classes,Month Forecast Issued,Tercile Probability
Below_Normal,Feb 2017,34.61966
Normal,Feb 2017,31.87313
Above_Normal,Feb 2017,33.50721
Below_Normal,Mar 2017,32.40001
Normal,Mar 2017,31.68862
Above_Normal,Mar 2017,35.91137
Below_Normal,Apr 2017,36.49424
Normal,Apr 2017,30.88296
Above_Normal,Apr 2017,32.62281
Below_Normal,May 2017,39.73795
Normal,May 2017,28.82326
Above_Normal,May 2017,31.43879
Below_Normal,Jun 2017,34.62183
Normal,Jun 2017,31.2645
Above_Normal,Jun 2017,34.11367
Below_Normal,Jul 2017,32.53342
Normal,Jul 2017,30.21596
Above_Normal,Jul 2017,37.25062
Below_Normal,Aug 2017,34.1378
Normal,Aug 2017,31.36152
Above_Normal,Aug 2017,34.50068
Below_Normal,Sep 2017,44.6367
Normal,Sep 2017,31.43599
Above_Normal,Sep 2017,23.92731
Below_Normal,Oct 2017,47.16053
Normal,Oct 2017,31.86344
Above_Normal,Oct 2017,20.97603
Below_Normal,Nov 2017,54.94783
Normal,Nov 2017,28.58098
Above_Normal,Nov 2017,16.47118
Below_Normal,Dec 2017,47.69291
Normal,Dec 2017,31.25352
Above_Normal,Dec 2017,21.05357
Below_Normal,Jan 2018,46.07533
Normal,Jan 2018,30.21302
Above_Normal,Jan 2018,23.71165
Below_Normal,Feb 2018,31.11559
Normal,Feb 2018,30.48454
Above_Normal,Feb 2018,38.39987
Below_Normal,Mar 2018,35.30708
Normal,Mar 2018,31.54877
Above_Normal,Mar 2018,33.14415
Below_Normal,Apr 2018,32.5697
Normal,Apr 2018,31.31168
Above_Normal,Apr 2018,36.11861
Below_Normal,May 2018,30.57843
Normal,May 2018,30.77907
Above_Normal,May 2018,38.64249
Below_Normal,Jun 2018,35.44452
Normal,Jun 2018,31.35888
Above_Normal,Jun 2018,33.1966
Below_Normal,Jul 2018,34.73442
Normal,Jul 2018,31.43
Above_Normal,Jul 2018,33.83557
Below_Normal,Aug 2018,30.97279
Normal,Aug 2018,30.89721
Above_Normal,Aug 2018,38.13
Below_Normal,Sep 2018,31.60179
Normal,Sep 2018,33.33017
Above_Normal,Sep 2018,35.06805
Below_Normal,Oct 2018,23.82237
Normal,Oct 2018,32.52964
Above_Normal,Oct 2018,43.64799
Below_Normal,Nov 2018,28.59226
Normal,Nov 2018,33.11966
Above_Normal,Nov 2018,38.28808
Below_Normal,Dec 2018,25.30733
Normal,Dec 2018,34.0027
Above_Normal,Dec 2018,40.68997
Below_Normal,Jan 2019,28.51409
Normal,Jan 2019,31.98647
Above_Normal,Jan 2019,39.49944
Below_Normal,Feb 2019,29.92347
Normal,Feb 2019,31.24669
Above_Normal,Feb 2019,38.82984
Below_Normal,Mar 2019,29.1452
Normal,Mar 2019,29.53779
Above_Normal,Mar 2019,41.31701
Below_Normal,Apr 2019,34.60823
Normal,Apr 2019,30.87999
Above_Normal,Apr 2019,34.51178
Below_Normal,May 2019,41.12019
Normal,May 2019,29.95155
Above_Normal,May 2019,28.92826
Below_Normal,Jun 2019,36.79026
Normal,Jun 2019,31.0562
Above_Normal,Jun 2019,32.15354
Below_Normal,Jul 2019,34.08961
Normal,Jul 2019,30.72085
Above_Normal,Jul 2019,35.18953
Below_Normal,Aug 2019,36.8131
Normal,Aug 2019,30.98653
Above_Normal,Aug 2019,32.20037
Below_Normal,Sep 2019,34.45432
Normal,Sep 2019,34.42404
Above_Normal,Sep 2019,31.12165
Below_Normal,Oct 2019,40.14072
Normal,Oct 2019,31.02291
Above_Normal,Oct 2019,28.83636
Below_Normal,Nov 2019,37.17196
Normal,Nov 2019,32.93211
Above_Normal,Nov 2019,29.89593
Below_Normal,Dec 2019,32.37931
Normal,Dec 2019,32.8399
Above_Normal,Dec 2019,34.7808
Below_Normal,Jan 2020,31.37645
Normal,Jan 2020,30.80691
Above_Normal,Jan 2020,37.81663
Below_Normal,Feb 2020,27.18509
Normal,Feb 2020,28.86304
Above_Normal,Feb 2020,43.95187
Below_Normal,Mar 2020,33.25179
Normal,Mar 2020,31.48762
Above_Normal,Mar 2020,35.26059
Below_Normal,Apr 2020,33.26101
Normal,Apr 2020,30.66797
Above_Normal,Apr 2020,36.07101
Below_Normal,May 2020,42.16133
Normal,May 2020,29.09743
Above_Normal,May 2020,28.74123
Below_Normal,Jun 2020,36.69049
Normal,Jun 2020,30.99114
Above_Normal,Jun 2020,32.31836
Below_Normal,Jul 2020,33.7255
Normal,Jul 2020,30.9078
Above_Normal,Jul 2020,35.3667
Below_Normal,Aug 2020,35.98159
Normal,Aug 2020,31.12287
Above_Normal,Aug 2020,32.89554
Below_Normal,Sep 2020,52.63499
Normal,Sep 2020,28.54078
Above_Normal,Sep 2020,18.82423
Below_Normal,Oct 2020,58.36177
Normal,Oct 2020,26.48018
Above_Normal,Oct 2020,15.15806
Below_Normal,Nov 2020,59.62196
Normal,Nov 2020,26.39643
Above_Normal,Nov 2020,13.98161
Below_Normal,Dec 2020,53.78935
