Tercile Classes,Month Forecast Issued,Tercile Probability
Below_Normal,2017-02,32.92044
Normal,2017-02,30.41777
Above_Normal,2017-02,36.66179
Below_Normal,2017-03,31.25095
Normal,2017-03,30.89939
Above_Normal,2017-03,37.84966
Below_Normal,2017-04,33.31397
Normal,2017-04,32.76086
Above_Normal,2017-04,33.92517
Below_Normal,2017-05,34.44253
Normal,2017-05,31.94891
Above_Normal,2017-05,33.60856
Below_Normal,2017-06,41.06027
Normal,2017-06,29.79307
Above_Normal,2017-06,29.14666
Below_Normal,2017-07,39.30251
Normal,2017-07,30.71974
Above_Normal,2017-07,29.97776
Below_Normal,2017-08,37.22203
Normal,2017-08,29.71414
Above_Normal,2017-08,33.06383
Below_Normal,2017-09,33.23221
Normal,2017-09,29.18972
Above_Normal,2017-09,37.57807
Below_Normal,2017-10,31.03892
Normal,2017-10,31.04469
Above_Normal,2017-10,37.91639
Below_Normal,2017-11,32.70588
Normal,2017-11,31.23294
Above_Normal,2017-11,36.06118
Below_Normal,2017-12,31.93139
Normal,2017-12,30.59072
Above_Normal,2017-12,37.47789
Below_Normal,2018-01,31.46358
Normal,2018-01,29.66434
Above_Normal,2018-01,38.87208
Below_Normal,2018-02,34.77421
Normal,2018-02,29.98342
Above_Normal,2018-02,35.24237
Below_Normal,2018-03,36.21475
Normal,2018-03,29.9951
Above_Normal,2018-03,33.79015
Below_Normal,2018-04,36.89671
Normal,2018-04,29.77113
Above_Normal,2018-04,33.33216
Below_Normal,2018-05,42.97343
Normal,2018-05,30.67755
Above_Normal,2018-05,26.34902
Below_Normal,2018-06,38.58696
Normal,2018-06,31.62027
Above_Normal,2018-06,29.79277
Below_Normal,2018-07,39.86454
Normal,2018-07,29.98056
Above_Normal,2018-07,30.1549
Below_Normal,2018-08,29.55212
Normal,2018-08,28.96714
Above_Normal,2018-08,41.48074
Below_Normal,2018-09,40.14079
Normal,2018-09,29.29243
Above_Normal,2018-09,30.56679
Below_Normal,2018-10,34.6625
Normal,2018-10,30.85623
Above_Normal,2018-10,34.48127
Below_Normal,2018-11,34.4768
Normal,2018-11,30.03141
Above_Normal,2018-11,35.49179
Below_Normal,2018-12,37.27862
Normal,2018-12,31.01189
Above_Normal,2018-12,31.70949
Below_Normal,2019-01,36.43748
Normal,2019-01,31.10707
Above_Normal,2019-01,32.45545
Below_Normal,2019-02,35.86056
Normal,2019-02,30.29115
Above_Normal,2019-02,33.84829
Below_Normal,2019-03,32.37939
Normal,2019-03,30.36161
