Tercile Classes,Month Forecast Issued,Tercile Probability
Below_Normal,Feb 2017,28.68478
Normal,Feb 2017,31.57472
Above_Normal,Feb 2017,39.74049
Below_Normal,Mar 2017,25.12793
Normal,Mar 2017,30.90849
Above_Normal,Mar 2017,43.96357
Below_Normal,Apr 2017,31.06572
Normal,Apr 2017,32.14005
Above_Normal,Apr 2017,36.79424
Below_Normal,May 2017,32.41973
Normal,May 2017,31.96055
Above_Normal,May 2017,35.61973
Below_Normal,Jun 2017,34.62183
Normal,Jun 2017,31.2645
Above_Normal,Jun 2017,34.11367
Below_Normal,Jul 2017,27.85305
Normal,Jul 2017,32.14548
Above_Normal,Jul 2017,40.00147
Below_Normal,Aug 2017,31.6076
Normal,Aug 2017,31.2774
Above_Normal,Aug 2017,37.115
Below_Normal,Sep 2017,36.17458
Normal,Sep 2017,30.79046
Above_Normal,Sep 2017,33.03495
Below_Normal,Oct 2017,30.12032
Normal,Oct 2017,28.83397
Above_Normal,Oct 2017,41.04572
Below_Normal,Nov 2017,29.52489
Normal,Nov 2017,30.8997
Above_Normal,Nov 2017,39.5754
Below_Normal,Dec 2017,29.23285
Normal,Dec 2017,30.30646
Above_Normal,Dec 2017,40.46069
Below_Normal,Jan 2018,20.95402
Normal,Jan 2018,23.22694
Above_Normal,Jan 2018,55.81904
Below_Normal,Feb 2018,35.36086
Normal,Feb 2018,28.72647
Above_Normal,Feb 2018,35.91267
Below_Normal,Mar 2018,22.83739
Normal,Mar 2018,29.88993
Above_Normal,Mar 2018,47.27268
Below_Normal,Apr 2018,31.24312
Normal,Apr 2018,31.69721
Above_Normal,Apr 2018,37.05968
Below_Normal,May 2018,34.44005
Normal,May 2018,31.57255
Above_Normal,May 2018,33.9874
Below_Normal,Jun 2018,30.01601
Normal,Jun 2018,31.37985
Above_Normal,Jun 2018,38.60414
Below_Normal,Jul 2018,26.45035
Normal,Jul 2018,31.98907
Above_Normal,Jul 2018,41.56058
Below_Normal,Aug 2018,33.84746
Normal,Aug 2018,31.72717
Above_Normal,Aug 2018,34.42537
Below_Normal,Sep 2018,34.96146
Normal,Sep 2018,31.0071
Above_Normal,Sep 2018,34.03143
Below_Normal,Oct 2018,31.535
Normal,Oct 2018,31.37335
Above_Normal,Oct 2018,37.09166
Below_Normal,Nov 2018,34.41701
Normal,Nov 2018,31.36861
Above_Normal,Nov 2018,34.21438
Below_Normal,Dec 2018,32.98759
Normal,Dec 2018,31.77297
Above_Normal,Dec 2018,35.23943
Below_Normal,Jan 2019,30.17982
Normal,Jan 2019,34.14375
Above_Normal,Jan 2019,35.67643
Below_Normal,Feb 2019,33.04237
Normal,Feb 2019,32.14267
Above_Normal,Feb 2019,34.81496
Below_Normal,Mar 2019,30.88979
Normal,Mar 2019,33.38617
Above_Normal,Mar 2019,35.72404
Below_Normal,Apr 2019,31.35915
Normal,Apr 2019,32.04712
Above_Normal,Apr 2019,36.59373
Below_Normal,May 2019,33.57946
Normal,May 2019,31.69494
Above_Normal,May 2019,34.7256
Below_Normal,Jun 2019,30.07683
Normal,Jun 2019,31.66077
Above_Normal,Jun 2019,38.2624
Below_Normal,Jul 2019,25.71122
Normal,Jul 2019,30.7282
Above_Normal,Jul 2019,43.56059
Below_Normal,Aug 2019,28.30834
Normal,Aug 2019,30.51372
Above_Normal,Aug 2019,41.17794
Below_Normal,Sep 2019,38.44474
Normal,Sep 2019,30.53235
Above_Normal,Sep 2019,31.02291
Below_Normal,Oct 2019,31.79889
Normal,Oct 2019,29.12895
Above_Normal,Oct 2019,39.07216
Below_Normal,Nov 2019,28.72576
Normal,Nov 2019,30.85662
Above_Normal,Nov 2019,40.41761
Below_Normal,Dec 2019,28.55336
Normal,Dec 2019,31.13939
Above_Normal,Dec 2019,40.30725
Below_Normal,Jan 2020,23.50711
Normal,Jan 2020,32.87179
Above_Normal,Jan 2020,43.62111
Below_Normal,Feb 2020,30.74494
Normal,Feb 2020,32.22409
Above_Normal,Feb 2020,37.03097
Below_Normal,Mar 2020,27.46542
Normal,Mar 2020,32.87888
Above_Normal,Mar 2020,39.6557
Below_Normal,Apr 2020,32.25607
Normal,Apr 2020,32.03853
Above_Normal,Apr 2020,35.7054
Below_Normal,May 2020,34.0416
Normal,May 2020,31.859
Above_Normal,May 2020,34.0994
Below_Normal,Jun 2020,31.77127
Normal,Jun 2020,32.55788
Above_Normal,Jun 2020,35.67085
Below_Normal,Jul 2020,28.46415
Normal,Jul 2020,32.22103
Above_Normal,Jul 2020,39.31482
Below_Normal,Aug 2020,30.37545
Normal,Aug 2020,31.56175
Above_Normal,Aug 2020,38.0628
Below_Normal,Sep 2020,38.72171
Normal,Sep 2020,30.46646
Above_Normal,Sep 2020,30.81183
Below_Normal,Oct 2020,30.26953
Normal,Oct 2020,27.78401
Above_Normal,Oct 2020,41.94646
Below_Normal,Nov 2020,24.81921
Normal,Nov 2020,29.47848
Above_Normal,Nov 2020,45.70231
Below_Normal,Dec 2020,20.29769
Normal,Dec 2020,26.89558
Above_Normal,Dec 2020,52.80674
Below_Normal,Jan 2021,11.44778
Normal,Jan 2021,23.00753
Above_Normal,Jan 2021,65.54469
Below_Normal,Feb 2021,24.97587
Normal,Feb 2021,30.9401
Above_Normal,Feb 2021,44.08403
Below_Normal,Mar 2021,24.37549
Normal,Mar 2021,31.30732
Above_Normal,Mar 2021,44.31719
Below_Normal,Apr 2021,26.89113
Normal,Apr 2021,31.92579
Above_Normal,Apr 2021,41.18308
Below_Normal,May 2021,29.74924
Normal,May 2021,32.48468
Above_Normal,May 2021,37.76608
Below_Normal,Jun 2021,32.52716
Normal,Jun 2021,33.20273
Above_Normal,Jun 2021,34.27011
Below_Normal,Jul 2021,31.99646
Normal,Jul 2021,33.13299
Above_Normal,Jul 2021,34.87055
Below_Normal,Aug 2021,33.25418
Normal,Aug 2021,32.03171
Above_Normal,Aug 2021,34.71412
Below_Normal,Sep 2021,15.24613
Normal,Sep 2021,25.79134
Above_Normal,Sep 2021,58.96253
Below_Normal,Oct 2021,17.73688
Normal,Oct 2021,30.06023
Above_Normal,Oct 2021,52.20289
Below_Normal,Nov 2021,26.13722
Normal,Nov 2021,32.73243
Above_Normal,Nov 2021,41.13036
Below_Normal,Dec 2021,14.22823
Normal,Dec 2021,27.58703
Above_Normal,Dec 2021,58.18474
Below_Normal,Jan 2022,9.99662
Normal,Jan 2022,22.39205
Above_Normal,Jan 2022,67.61133
Below_Normal,Feb 2022,12.43333
Normal,Feb 2022,21.76263
Above_Normal,Feb 2022,65.80404
Below_Normal,Mar 2022,10.72785
Normal,Mar 2022,22.26603
Above_Normal,Mar 2022,67.00612
Below_Normal,Apr 2022,18.6287
Normal,Apr 2022,30.83526
Above_Normal,Apr 2022,50.53603
Below_Normal,May 2022,17.67549
Normal,May 2022,31.80261
Above_Normal,May 2022,50.5219
Below_Normal,Jun 2022,15.16101
Normal,Jun 2022,30.37395
Above_Normal,Jun 2022,54.46504
Below_Normal,Jul 2022,16.66638
Normal,Jul 2022,28.31571
Above_Normal,Jul 2022,55.01791
Below_Normal,Aug 2022,13.56042
Normal,Aug 2022,24.92272
Above_Normal,Aug 2022,61.51685
Below_Normal,Sep 2022,16.25603
Normal,Sep 2022,24.47548
Above_Normal,Sep 2022,59.26849
Below_Normal,Oct 2022,20.21976
Normal,Oct 2022,28.64197
Above_Normal,Oct 2022,51.13827
Below_Normal,Nov 2022,23.88623
Normal,Nov 2022,31.86386
Above_Normal,Nov 2022,44.24991
Below_Normal,Dec 2022,16.40797
Normal,Dec 2022,27.32162
Above_Normal,Dec 2022,56.27042
Below_Normal,Jan 2023,14.44398
Normal,Jan 2023,29.68638
Above_Normal,Jan 2023,55.86963
Below_Normal,Feb 2023,20.03061
Normal,Feb 2023,28.82945
Above_Normal,Feb 2023,51.13994
Below_Normal,Mar 2023,19.56866
Normal,Mar 2023,30.58221
Above_Normal,Mar 2023,49.84913
Below_Normal,Apr 2023,21.74545
Normal,Apr 2023,30.05727
Above_Normal,Apr 2023,48.19728
Below_Normal,May 2023,15.34758
Normal,May 2023,27.38503
Above_Normal,May 2023,57.26738
Below_Normal,Jun 2023,13.3314
Normal,Jun 2023,24.7535
Above_Normal,Jun 2023,61.91511
Below_Normal,Jul 2023,13.51377
Normal,Jul 2023,26.04906
Above_Normal,Jul 2023,60.43717
Below_Normal,Aug 2023,17.14011
Normal,Aug 2023,31.64216
Above_Normal,Aug 2023,51.21773
Below_Normal,Sep 2023,17.94952
Normal,Sep 2023,28.85899
Above_Normal,Sep 2023,53.19149
Below_Normal,Oct 2023,28.16898
Normal,Oct 2023,33.68051
Above_Normal,Oct 2023,38.15051
Below_Normal,Nov 2023,28.89604
Normal,Nov 2023,32.62524
Above_Normal,Nov 2023,38.47872
Below_Normal,Dec 2023,28.53868
Normal,Dec 2023,34.34621
Above_Normal,Dec 2023,37.1151
Below_Normal,Jan 2024,26.91792
Normal,Jan 2024,36.28981
Above_Normal,Jan 2024,36.79227
Below_Normal,Feb 2024,29.16498
Normal,Feb 2024,34.52158
Above_Normal,Feb 2024,36.31344
Below_Normal,Mar 2024,19.4325
Normal,Mar 2024,29.48707
Above_Normal,Mar 2024,51.08043
Below_Normal,Apr 2024,19.37277
Normal,Apr 2024,29.76999
Above_Normal,Apr 2024,50.85724
Below_Normal,May 2024,9.774267
Normal,May 2024,22.74491
Above_Normal,May 2024,67.48082
Below_Normal,Jun 2024,11.35133
Normal,Jun 2024,20.61674
Above_Normal,Jun 2024,68.03194
Below_Normal,Jul 2024,15.47897
Normal,Jul 2024,27.37116
Above_Normal,Jul 2024,57.14987
Below_Normal,Aug 2024,16.16243
Normal,Aug 2024,25.876
Above_Normal,Aug 2024,57.96158
Below_Normal,Sep 2024,19.20899
Normal,Sep 2024,28.10576
Above_Normal,Sep 2024,52.68525
Below_Normal,Oct 2024,21.43097
Normal,Oct 2024,30.46237
Above_Normal,Oct 2024,48.10666
Below_Normal,Nov 2024,22.94114
Normal,Nov 2024,31.12561
Above_Normal,Nov 2024,45.93325
Below_Normal,Dec 2024,16.67405
Normal,Dec 2024,28.41742
Above_Normal,Dec 2024,54.90854
Below_Normal,Jan 2025,12.43442
Normal,Jan 2025,26.18069
Above_Normal,Jan 2025,61.38489
Below_Normal,Feb 2025,17.23827
Normal,Feb 2025,27.08306
Above_Normal,Feb 2025,55.67867
Below_Normal,Mar 2025,10.24167
