Tercile Classes,Month Forecast Issued,Tercile Probability,
Below_Normal,2017-02,33.97909,
Normal,2017-02,32.99258,
Above_Normal,2017-02,33.02832,
Below_Normal,2017-03,34.79008,
Normal,2017-03,30.96233,
Above_Normal,2017-03,34.24759,
Below_Normal,2017-04,31.09159,
Normal,2017-04,31.0203,
Above_Normal,2017-04,37.8881,
Below_Normal,2017-05,35.07367,
Normal,2017-05,31.32785,
Above_Normal,2017-05,33.59848,
Below_Normal,2017-06,41.06027,
Normal,2017-06,29.79307,
Above_Normal,2017-06,29.14666,
Below_Normal,2017-07,29.72477,
Normal,2017-07,31.78543,
Above_Normal,2017-07,38.4898,
Below_Normal,2017-08,33.6689,
Normal,2017-08,31.17607,
Above_Normal,2017-08,35.15503,
Below_Normal,2017-09,35.71951,
Normal,2017-09,30.71413,
Above_Normal,2017-09,33.56635,
Below_Normal,2017-10,33.82542,
Normal,2017-10,30.99679,
Above_Normal,2017-10,35.17779,
Below_Normal,2017-11,36.91865,
Normal,2017-11,30.05304,
Above_Normal,2017-11,33.02831,
Below_Normal,2017-12,40.95584,
Normal,2017-12,31.78563,
Above_Normal,2017-12,27.25853,
Below_Normal,2018-01,52.30159,
Normal,2018-01,26.66143,
Above_Normal,2018-01,21.03698,
Below_Normal,2018-02,46.40715,
Normal,2018-02,29.88586,
Above_Normal,2018-02,23.70699,
Below_Normal,2018-03,38.49405,
Normal,2018-03,29.49742,
Above_Normal,2018-03,32.00854,
Below_Normal,2018-04,33.0417,
Normal,2018-04,31.69981,
Above_Normal,2018-04,35.25849,
Below_Normal,2018-05,26.56685,
Normal,2018-05,30.52428,
Above_Normal,2018-05,42.90887,
Below_Normal,2018-06,15.20841,
Normal,2018-06,22.164,
Above_Normal,2018-06,62.62758,
Below_Normal,2018-07,26.59686,
Normal,2018-07,29.75694,
Above_Normal,2018-07,43.6462,
Below_Normal,2018-08,33.02772,
Normal,2018-08,31.20532,
Above_Normal,2018-08,35.76696,
Below_Normal,2018-09,35.69463,
Normal,2018-09,29.90506,
Above_Normal,2018-09,34.40031,
Below_Normal,2018-10,33.57258,
Normal,2018-10,30.6659,
Above_Normal,2018-10,35.76152,
Below_Normal,2018-11,22.04332,
Normal,2018-11,29.17107,
Above_Normal,2018-11,48.78561,
Below_Normal,2018-12,17.72062,
Normal,2018-12,27.11264,
Above_Normal,2018-12,55.16674,
Below_Normal,2019-01,13.64839,
Normal,2019-01,26.71671,
Above_Normal,2019-01,59.6349,
Below_Normal,2019-02,24.84289,
Normal,2019-02,30.85859,
Above_Normal,2019-02,44.29853,
Below_Normal,2019-03,31.96213,
Normal,2019-03,30.84626,
Above_Normal,2019-03,37.19161,
Below_Normal,2019-04,25.25079,
Normal,2019-04,29.14753,
Above_Normal,2019-04,45.60168,
Below_Normal,2019-05,27.71219,
Normal,2019-05,31.20254,
Above_Normal,2019-05,41.08527,
Below_Normal,2019-06,16.58619,
Normal,2019-06,24.7486,
Above_Normal,2019-06,58.66521,
Below_Normal,2019-07,25.78959,
Normal,2019-07,29.39189,
Above_Normal,2019-07,44.81852,
Below_Normal,2019-08,32.5157,
Normal,2019-08,31.30782,
Above_Normal,2019-08,36.17648,
Below_Normal,2019-09,32.15466,
Normal,2019-09,30.51415,
Above_Normal,2019-09,37.33119,
Below_Normal,2019-10,30.90155,
Normal,2019-10,30.4405,
Above_Normal,2019-10,38.65795,
Below_Normal,2019-11,23.73245,
Normal,2019-11,29.07801,
Above_Normal,2019-11,47.18953,
Below_Normal,2019-12,29.70576,
Normal,2019-12,34.14791,
Above_Normal,2019-12,36.14633,
Below_Normal,2020-01,32.7545,
Normal,2020-01,32.61216,
Above_Normal,2020-01,34.63334,
Below_Normal,2020-02,29.47448,
Normal,2020-02,32.89996,
Above_Normal,2020-02,37.62556,
Below_Normal,2020-03,32.38408,
Normal,2020-03,30.89112,
Above_Normal,2020-03,36.7248,
Below_Normal,2020-04,24.46126,
Normal,2020-04,28.58587,
Above_Normal,2020-04,46.95287,
Below_Normal,2020-05,24.24633,
Normal,2020-05,29.47744,
Above_Normal,2020-05,46.27623,
Below_Normal,2020-06,15.89248,
Normal,2020-06,27.18035,
Above_Normal,2020-06,56.92717,
Below_Normal,2020-07,29.68819,
Normal,2020-07,32.72445,
Above_Normal,2020-07,37.58736,
Below_Normal,2020-08,32.35899,
Normal,2020-08,30.94982,
Above_Normal,2020-08,36.69119,
Below_Normal,2020-09,33.18312,
Normal,2020-09,31.05116,
Above_Normal,2020-09,35.76573,
Below_Normal,2020-10,33.8088,
Normal,2020-10,30.10575,
Above_Normal,2020-10,36.08545,
Below_Normal,2020-11,36.84495,
Normal,2020-11,29.95136,
Above_Normal,2020-11,33.20369,
Below_Normal,2020-12,43.20728,
Normal,2020-12,31.98024,
Above_Normal,2020-12,24.81248,
Below_Normal,2021-01,38.27013,
Normal,2021-01,34.15005,
Above_Normal,2021-01,27.57982,
Below_Normal,2021-02,41.67868,
Normal,2021-02,31.35278,
Above_Normal,2021-02,26.96853,
Below_Normal,2021-03,33.03024,
Normal,2021-03,31.10996,
Above_Normal,2021-03,35.8598,
Below_Normal,2021-04,24.46098,
Normal,2021-04,28.47556,
Above_Normal,2021-04,47.06346,
Below_Normal,2021-05,21.01764,
Normal,2021-05,28.84443,
Above_Normal,2021-05,50.13793,
Below_Normal,2021-06,16.51667,
Normal,2021-06,29.07499,
Above_Normal,2021-06,54.40834,
Below_Normal,2021-07,24.52066,
Normal,2021-07,29.99722,
Above_Normal,2021-07,45.48212,
Below_Normal,2021-08,33.77933,
Normal,2021-08,31.01854,
Above_Normal,2021-08,35.20214,
Below_Normal,2021-09,25.71215,
Normal,2021-09,33.61796,
Above_Normal,2021-09,40.66989,
Below_Normal,2021-10,31.77783,
Normal,2021-10,33.06151,
Above_Normal,2021-10,35.16066,
Below_Normal,2021-11,33.89906,
Normal,2021-11,34.38145,
Above_Normal,2021-11,31.71949,
Below_Normal,2021-12,40.57514,
Normal,2021-12,35.07991,
Above_Normal,2021-12,24.34495,
Below_Normal,2022-01,50.42303,La Nina => Cooler winter
Normal,2022-01,31.97,
Above_Normal,2022-01,17.60697,
Below_Normal,2022-02,51.72076,La Nina => Cooler winter
Normal,2022-02,29.87484,
Above_Normal,2022-02,18.4044,
Below_Normal,2022-03,41.32286,
Normal,2022-03,33.47061,
Above_Normal,2022-03,25.20653,
Below_Normal,2022-04,16.97587,
Normal,2022-04,27.94504,
Above_Normal,2022-04,55.07909,
Below_Normal,2022-05,23.53334,
Normal,2022-05,32.09402,
Above_Normal,2022-05,44.37263,
Below_Normal,2022-06,29.91247,
Normal,2022-06,34.60358,
Above_Normal,2022-06,35.48396,
Below_Normal,2022-07,24.22942,
Normal,2022-07,34.01304,
Above_Normal,2022-07,41.75754,
Below_Normal,2022-08,23.5927,
Normal,2022-08,31.94681,
Above_Normal,2022-08,44.46049,
Below_Normal,2022-09,26.41045,
Normal,2022-09,33.54298,
Above_Normal,2022-09,40.04657,
Below_Normal,2022-10,23.31973,
Normal,2022-10,30.9155,
Above_Normal,2022-10,45.76477,
Below_Normal,2022-11,38.90662,
Normal,2022-11,33.78881,
Above_Normal,2022-11,27.30457,
Below_Normal,2022-12,41.05627,
Normal,2022-12,33.67691,
Above_Normal,2022-12,25.26681,
Below_Normal,2023-01,39.76694,
Normal,2023-01,35.34239,
Above_Normal,2023-01,24.89067,
Below_Normal,2023-02,37.66623,
Normal,2023-02,36.20151,
Above_Normal,2023-02,26.13226,
Below_Normal,2023-03,25.73357,
Normal,2023-03,35.10125,
Above_Normal,2023-03,39.16518,
Below_Normal,2023-04,21.97338,
Normal,2023-04,32.16564,
Above_Normal,2023-04,45.86098,
Below_Normal,2023-05,21.86965,
Normal,2023-05,31.48648,
Above_Normal,2023-05,46.64388,
Below_Normal,2023-06,23.18075,
Normal,2023-06,34.92323,
Above_Normal,2023-06,41.89602,
Below_Normal,2023-07,20.69283,
Normal,2023-07,31.76777,
Above_Normal,2023-07,47.53939,
Below_Normal,2023-08,21.71444,
Normal,2023-08,30.83096,
Above_Normal,2023-08,47.45461,
Below_Normal,2023-09,26.31759,
Normal,2023-09,32.94908,
Above_Normal,2023-09,40.73333,
Below_Normal,2023-10,23.29619,
Normal,2023-10,30.89352,
Above_Normal,2023-10,45.81029,
Below_Normal,2023-11,21.11308,
Normal,2023-11,29.91364,
Above_Normal,2023-11,48.97327,
Below_Normal,2023-12,12.88536,
Normal,2023-12,27.03411,
Above_Normal,2023-12,60.08053,
Below_Normal,2024-01,10.89498,
Normal,2024-01,25.89052,
Above_Normal,2024-01,63.2145,
Below_Normal,2024-02,9.527432,
Normal,2024-02,25.60309,
Above_Normal,2024-02,64.86948,
Below_Normal,2024-03,16.57035,
Normal,2024-03,30.76982,
Above_Normal,2024-03,52.65983,
Below_Normal,2024-04,19.02669,
Normal,2024-04,28.69127,
Above_Normal,2024-04,52.28204,
Below_Normal,2024-05,18.19168,
Normal,2024-05,28.84094,
Above_Normal,2024-05,52.96738,
Below_Normal,2024-06,21.42401,
Normal,2024-06,35.07003,
Above_Normal,2024-06,43.50597,
Below_Normal,2024-07,17.96852,
Normal,2024-07,30.7937,
Above_Normal,2024-07,51.23778,
Below_Normal,2024-08,23.59361,
Normal,2024-08,32.64347,
Above_Normal,2024-08,43.76292,
Below_Normal,2024-09,22.3612,
Normal,2024-09,32.22956,
Above_Normal,2024-09,45.40924,
Below_Normal,2024-10,22.61876,
Normal,2024-10,31.12742,
Above_Normal,2024-10,46.25383,
Below_Normal,2024-11,32.25673,
Normal,2024-11,33.4737,
Above_Normal,2024-11,34.26957,
Below_Normal,2024-12,27.20387,
Normal,2024-12,36.21989,
Above_Normal,2024-12,36.57624,
Below_Normal,2025-01,26.6476,
Normal,2025-01,37.56328,
Above_Normal,2025-01,35.78912,
Below_Normal,2025-02,33.65328,
Normal,2025-02,33.20939,
Above_Normal,2025-02,33.13733,
Below_Normal,2025-03,16.76622,
Normal,2025-03,28.21929,
Above_Normal,2025-03,55.01448,
Below_Normal,2025-04,9.27896,
Normal,2025-04,20.14125,
Above_Normal,2025-04,70.57979,
Below_Normal,2025-05,9.817944,
Normal,2025-05,20.4021,
Above_Normal,2025-05,69.77995,
Below_Normal,2025-06,10.52111,
Normal,2025-06,22.60219,
Above_Normal,2025-06,66.8767,
Below_Normal,2025-07,10.39519,
Normal,2025-07,23.24586,
Above_Normal,2025-07,66.35895,
Below_Normal,2025-08,21.11835,
Normal,2025-08,30.16063,
Above_Normal,2025-08,48.72102,
Below_Normal,2025-09,19.56468,
Normal,2025-09,29.06195,
Above_Normal,2025-09,51.37336,
Below_Normal,2025-10,24.99583,
Normal,2025-10,32.6367,
Above_Normal,2025-10,42.36747,
Below_Normal,2025-11,31.89434,
Normal,2025-11,35.00042,
Above_Normal,2025-11,33.10524,
Below_Normal,2025-12,28.99605,
Normal,2025-12,33.78581,
Above_Normal,2025-12,37.21814,
Below_Normal,2026-01,20.19014,
Normal,2026-01,35.32996,
Above_Normal,2026-01,44.47989,
