Tercile Classes,Month Forecast Issued,Tercile Probability
Below_Normal,Feb 2017,36.80511
Normal,Feb 2017,30.88062
Above_Normal,Feb 2017,32.31427
Below_Normal,Mar 2017,43.20955
Normal,Mar 2017,29.11778
Above_Normal,Mar 2017,27.67267
Below_Normal,Apr 2017,35.93013
Normal,Apr 2017,31.45314
Above_Normal,Apr 2017,32.61673
Below_Normal,May 2017,30.99925
Normal,May 2017,30.46987
Above_Normal,May 2017,38.53088
Below_Normal,Jun 2017,32.25741
Normal,Jun 2017,33.80419
Above_Normal,Jun 2017,33.9384
Below_Normal,Jul 2017,29.37444
Normal,Jul 2017,35.40321
Above_Normal,Jul 2017,35.22235
Below_Normal,Aug 2017,39.94726
Normal,Aug 2017,32.80396
Above_Normal,Aug 2017,27.24879
Below_Normal,Sep 2017,43.37151
Normal,Sep 2017,31.14656
Above_Normal,Sep 2017,25.48193
Below_Normal,Oct 2017,42.47545
Normal,Oct 2017,30.66675
Above_Normal,Oct 2017,26.8578
Below_Normal,Nov 2017,35.84137
Normal,Nov 2017,30.94325
Above_Normal,Nov 2017,33.21538
Below_Normal,Dec 2017,34.32146
Normal,Dec 2017,31.21719
Above_Normal,Dec 2017,34.46135
Below_Normal,Jan 2018,32.82288
Normal,Jan 2018,30.75757
Above_Normal,Jan 2018,36.41956
Below_Normal,Feb 2018,33.60448
Normal,Feb 2018,30.77191
Above_Normal,Feb 2018,35.62361
Below_Normal,Mar 2018,37.88018
Normal,Mar 2018,30.34229
Above_Normal,Mar 2018,31.77752
Below_Normal,Apr 2018,34.3473
Normal,Apr 2018,30.73224
Above_Normal,Apr 2018,34.92046
Below_Normal,May 2018,31.16447
Normal,May 2018,31.2628
Above_Normal,May 2018,37.57273
Below_Normal,Jun 2018,24.61627
Normal,Jun 2018,32.73238
Above_Normal,Jun 2018,42.65136
Below_Normal,Jul 2018,24.69756
Normal,Jul 2018,32.92999
Above_Normal,Jul 2018,42.37245
Below_Normal,Aug 2018,25.63617
Normal,Aug 2018,33.44565
Above_Normal,Aug 2018,40.91818
Below_Normal,Sep 2018,31.21799
Normal,Sep 2018,31.91192
Above_Normal,Sep 2018,36.87009
Below_Normal,Oct 2018,31.69081
Normal,Oct 2018,31.28175
Above_Normal,Oct 2018,37.02744
Below_Normal,Nov 2018,34.06278
Normal,Nov 2018,31.38435
Above_Normal,Nov 2018,34.55287
Below_Normal,Dec 2018,32.82843
Normal,Dec 2018,31.23751
Above_Normal,Dec 2018,35.93405
Below_Normal,Jan 2019,37.57841
Normal,Jan 2019,30.56118
Above_Normal,Jan 2019,31.86041
Below_Normal,Feb 2019,36.44466
Normal,Feb 2019,30.29817
Above_Normal,Feb 2019,33.25718
Below_Normal,Mar 2019,37.17253
Normal,Mar 2019,30.15301
Above_Normal,Mar 2019,32.67447
Below_Normal,Apr 2019,35.13873
Normal,Apr 2019,30.90373
Above_Normal,Apr 2019,33.95754
Below_Normal,May 2019,30.0881
Normal,May 2019,30.51771
Above_Normal,May 2019,39.39419
Below_Normal,Jun 2019,30.1623
Normal,Jun 2019,34.85278
Above_Normal,Jun 2019,34.98492
Below_Normal,Jul 2019,40.69229
Normal,Jul 2019,32.63347
Above_Normal,Jul 2019,26.67424
Below_Normal,Aug 2019,39.20118
Normal,Aug 2019,32.43199
Above_Normal,Aug 2019,28.36683
Below_Normal,Sep 2019,33.70773
Normal,Sep 2019,31.88899
Above_Normal,Sep 2019,34.40327
Below_Normal,Oct 2019,36.35234
