Tercile Classes,Month Forecast Issued,Tercile Probability
Below_Normal,2017-02,35.92525
Normal,2017-02,31.24165
Above_Normal,2017-02,32.8331
Below_Normal,2017-03,34.58153
Normal,2017-03,33.47212
Above_Normal,2017-03,31.94635
Below_Normal,2017-04,29.49703
Normal,2017-04,30.7651
Above_Normal,2017-04,39.73787
Below_Normal,2017-05,36.95657
Normal,2017-05,31.28282
Above_Normal,2017-05,31.76061
Below_Normal,2017-06,33.03152
Normal,2017-06,29.08017
Above_Normal,2017-06,37.88831
Below_Normal,2017-07,34.35682
Normal,2017-07,32.36894
Above_Normal,2017-07,33.27424
Below_Normal,2017-08,35.37715
Normal,2017-08,30.50142
Above_Normal,2017-08,34.12144
Below_Normal,2017-09,31.04535
Normal,2017-09,30.56497
Above_Normal,2017-09,38.38969
Below_Normal,2017-10,31.78016
Normal,2017-10,28.43171
Above_Normal,2017-10,39.78813
Below_Normal,2017-11,37.48568
Normal,2017-11,29.07298
Above_Normal,2017-11,33.44134
Below_Normal,2017-12,36.06461
Normal,2017-12,30.43923
Above_Normal,2017-12,33.49616
Below_Normal,2018-01,53.29423
Normal,2018-01,26.49364
Above_Normal,2018-01,20.21213
Below_Normal,2018-02,43.71972
Normal,2018-02,30.22706
Above_Normal,2018-02,26.05322
Below_Normal,2018-03,45.9337
Normal,2018-03,31.11174
Above_Normal,2018-03,22.95457
Below_Normal,2018-04,33.96274
Normal,2018-04,29.79379
Above_Normal,2018-04,36.24347
Below_Normal,2018-05,32.28047
Normal,2018-05,30.56945
Above_Normal,2018-05,37.15008
Below_Normal,2018-06,35.78592
Normal,2018-06,29.9823
Above_Normal,2018-06,34.23179
Below_Normal,2018-07,36.99417
Normal,2018-07,31.63916
Above_Normal,2018-07,31.36667
Below_Normal,2018-08,36.81477
Normal,2018-08,30.56389
Above_Normal,2018-08,32.62134
Below_Normal,2018-09,35.20605
Normal,2018-09,31.52499
Above_Normal,2018-09,33.26897
Below_Normal,2018-10,39.37086
Normal,2018-10,30.16092
Above_Normal,2018-10,30.46821
Below_Normal,2018-11,37.55845
Normal,2018-11,30.62672
Above_Normal,2018-11,31.81483
Below_Normal,2018-12,34.53645
Normal,2018-12,31.02864
Above_Normal,2018-12,34.43491
Below_Normal,2019-01,38.72003
Normal,2019-01,30.36061
Above_Normal,2019-01,30.91936
Below_Normal,2019-02,34.30443
Normal,2019-02,29.75206
Above_Normal,2019-02,35.94351
Below_Normal,2019-03,34.64942
Normal,2019-03,32.36694
Above_Normal,2019-03,32.98364
Below_Normal,2019-04,35.79835
Normal,2019-04,30.0323
Above_Normal,2019-04,34.16935
Below_Normal,2019-05,33.85003
Normal,2019-05,30.09388
Above_Normal,2019-05,36.0561
Below_Normal,2019-06,34.36366
Normal,2019-06,29.51201
Above_Normal,2019-06,36.12433
Below_Normal,2019-07,35.12166
Normal,2019-07,30.82767
Above_Normal,2019-07,34.05067
Below_Normal,2019-08,34.91216
Normal,2019-08,30.35559
Above_Normal,2019-08,34.73225
Below_Normal,2019-09,35.55783
Normal,2019-09,31.14528
Above_Normal,2019-09,33.2969
Below_Normal,2019-10,32.67697
Normal,2019-10,30.59329
Above_Normal,2019-10,36.72974
Below_Normal,2019-11,30.75287
Normal,2019-11,29.81987
Above_Normal,2019-11,39.42726
Below_Normal,2019-12,40.04596
Normal,2019-12,29.59783
Above_Normal,2019-12,30.35621
Below_Normal,2020-01,43.15596
Normal,2020-01,29.25557
Above_Normal,2020-01,27.58848
Below_Normal,2020-02,45.45437
Normal,2020-02,30.62084
Above_Normal,2020-02,23.92479
Below_Normal,2020-03,48.25229
Normal,2020-03,30.65525
Above_Normal,2020-03,21.09245
Below_Normal,2020-04,36.63153
Normal,2020-04,30.23005
