Tercile Classes,Month Forecast Issued,Tercile Probability
Below_Normal,Feb 2017,33.04073
Normal,Feb 2017,31.0232
Above_Normal,Feb 2017,35.93608
Below_Normal,Mar 2017,32.25565
Normal,Mar 2017,31.78918
Above_Normal,Mar 2017,35.95518
Below_Normal,Apr 2017,26.23994
Normal,Apr 2017,32.64276
Above_Normal,Apr 2017,41.1173
Below_Normal,May 2017,28.7606
Normal,May 2017,31.5919
Above_Normal,May 2017,39.6475
Below_Normal,Jun 2017,32.25741
Normal,Jun 2017,33.80419
Above_Normal,Jun 2017,33.9384
Below_Normal,Jul 2017,30.17473
Normal,Jul 2017,30.8703
Above_Normal,Jul 2017,38.95497
Below_Normal,Aug 2017,26.25489
Normal,Aug 2017,30.57081
Above_Normal,Aug 2017,43.17429
Below_Normal,Sep 2017,24.42246
Normal,Sep 2017,29.14387
Above_Normal,Sep 2017,46.43367
Below_Normal,Oct 2017,14.35888
Normal,Oct 2017,26.25972
Above_Normal,Oct 2017,59.3814
Below_Normal,Nov 2017,22.30903
Normal,Nov 2017,28.55187
Above_Normal,Nov 2017,49.13909
Below_Normal,Dec 2017,24.36813
Normal,Dec 2017,30.85663
Above_Normal,Dec 2017,44.77524
Below_Normal,Jan 2018,27.58505
Normal,Jan 2018,30.812
Above_Normal,Jan 2018,41.60296
Below_Normal,Feb 2018,31.51344
Normal,Feb 2018,30.8464
Above_Normal,Feb 2018,37.64016
Below_Normal,Mar 2018,32.84232
Normal,Mar 2018,31.68124
Above_Normal,Mar 2018,35.47644
Below_Normal,Apr 2018,27.0275
Normal,Apr 2018,31.52145
Above_Normal,Apr 2018,41.45105
Below_Normal,May 2018,29.80963
Normal,May 2018,31.09241
Above_Normal,May 2018,39.09796
Below_Normal,Jun 2018,34.6579
Normal,Jun 2018,30.97126
Above_Normal,Jun 2018,34.37084
Below_Normal,Jul 2018,33.37718
Normal,Jul 2018,31.39539
Above_Normal,Jul 2018,35.22743
Below_Normal,Aug 2018,35.02964
Normal,Aug 2018,31.63441
Above_Normal,Aug 2018,33.33595
Below_Normal,Sep 2018,31.50635
Normal,Sep 2018,30.23934
Above_Normal,Sep 2018,38.25431
Below_Normal,Oct 2018,35.59752
Normal,Oct 2018,33.31784
Above_Normal,Oct 2018,31.08464
Below_Normal,Nov 2018,31.29557
Normal,Nov 2018,31.57135
Above_Normal,Nov 2018,37.13308
Below_Normal,Dec 2018,30.56782
Normal,Dec 2018,33.22038
Above_Normal,Dec 2018,36.2118
Below_Normal,Jan 2019,31.73928
Normal,Jan 2019,31.70436
Above_Normal,Jan 2019,36.55635
Below_Normal,Feb 2019,33.26714
Normal,Feb 2019,31.23172
Above_Normal,Feb 2019,35.50114
Below_Normal,Mar 2019,32.60814
Normal,Mar 2019,31.66153
Above_Normal,Mar 2019,35.73033
Below_Normal,Apr 2019,23.19109
Normal,Apr 2019,29.67688
Above_Normal,Apr 2019,47.13204
Below_Normal,May 2019,28.64697
Normal,May 2019,30.82538
Above_Normal,May 2019,40.52765
Below_Normal,Jun 2019,35.74378
Normal,Jun 2019,31.04839
Above_Normal,Jun 2019,33.20783
Below_Normal,Jul 2019,30.05716
Normal,Jul 2019,30.73339
Above_Normal,Jul 2019,39.20945
Below_Normal,Aug 2019,29.106
Normal,Aug 2019,30.87098
Above_Normal,Aug 2019,40.02302
Below_Normal,Sep 2019,30.86459
Normal,Sep 2019,31.63085
Above_Normal,Sep 2019,37.50455
Below_Normal,Oct 2019,19.99141
Normal,Oct 2019,29.36355
Above_Normal,Oct 2019,50.64504
Below_Normal,Nov 2019,25.37059
Normal,Nov 2019,30.26923
Above_Normal,Nov 2019,44.36018
Below_Normal,Dec 2019,26.34122
Normal,Dec 2019,32.04356
Above_Normal,Dec 2019,41.61522
Below_Normal,Jan 2020,29.2746
Normal,Jan 2020,31.354
Above_Normal,Jan 2020,39.3714
Below_Normal,Feb 2020,33.5646
Normal,Feb 2020,31.36651
Above_Normal,Feb 2020,35.06889
Below_Normal,Mar 2020,30.41169
Normal,Mar 2020,31.45166
Above_Normal,Mar 2020,38.13666
Below_Normal,Apr 2020,29.15632
Normal,Apr 2020,32.22383
Above_Normal,Apr 2020,38.61985
Below_Normal,May 2020,28.38956
Normal,May 2020,31.02529
Above_Normal,May 2020,40.58514
Below_Normal,Jun 2020,35.04963
Normal,Jun 2020,30.88697
Above_Normal,Jun 2020,34.0634
Below_Normal,Jul 2020,30.82887
Normal,Jul 2020,30.83777
Above_Normal,Jul 2020,38.33337
Below_Normal,Aug 2020,28.46072
Normal,Aug 2020,30.76276
Above_Normal,Aug 2020,40.77652
Below_Normal,Sep 2020,26.52507
Normal,Sep 2020,29.46509
Above_Normal,Sep 2020,44.00984
Below_Normal,Oct 2020,13.75389
Normal,Oct 2020,25.77271
Above_Normal,Oct 2020,60.47341
Below_Normal,Nov 2020,20.44126
Normal,Nov 2020,27.30572
Above_Normal,Nov 2020,52.25303
Below_Normal,Dec 2020,19.95613
Normal,Dec 2020,28.46989
Above_Normal,Dec 2020,51.57398
Below_Normal,Jan 2021,25.96247
Normal,Jan 2021,30.22897
Above_Normal,Jan 2021,43.80856
Below_Normal,Feb 2021,32.87182
Normal,Feb 2021,31.2864
Above_Normal,Feb 2021,35.84179
Below_Normal,Mar 2021,29.56724
Normal,Mar 2021,31.42457
Above_Normal,Mar 2021,39.00819
Below_Normal,Apr 2021,29.60869
Normal,Apr 2021,31.60947
Above_Normal,Apr 2021,38.78184
Below_Normal,May 2021,32.36925
Normal,May 2021,31.77525
Above_Normal,May 2021,35.8555
Below_Normal,Jun 2021,33.0772
Normal,Jun 2021,31.20644
Above_Normal,Jun 2021,35.71636
Below_Normal,Jul 2021,32.42948
Normal,Jul 2021,31.13393
Above_Normal,Jul 2021,36.43659
Below_Normal,Aug 2021,26.50806
Normal,Aug 2021,29.78032
Above_Normal,Aug 2021,43.71162
Below_Normal,Sep 2021,13.29329
Normal,Sep 2021,24.94883
Above_Normal,Sep 2021,61.75788
Below_Normal,Oct 2021,12.83327
Normal,Oct 2021,24.38419
Above_Normal,Oct 2021,62.78254
Below_Normal,Nov 2021,19.20933
Normal,Nov 2021,30.90014
Above_Normal,Nov 2021,49.89053
Below_Normal,Dec 2021,21.52635
Normal,Dec 2021,31.56446
Above_Normal,Dec 2021,46.90919
Below_Normal,Jan 2022,14.75533
Normal,Jan 2022,26.75866
Above_Normal,Jan 2022,58.48601
Below_Normal,Feb 2022,11.07041
Normal,Feb 2022,23.72093
Above_Normal,Feb 2022,65.20866
Below_Normal,Mar 2022,14.92688
Normal,Mar 2022,21.56145
Above_Normal,Mar 2022,63.51167
Below_Normal,Apr 2022,11.83085
Normal,Apr 2022,24.12148
Above_Normal,Apr 2022,64.04767
Below_Normal,May 2022,13.68065
Normal,May 2022,28.41627
Above_Normal,May 2022,57.90308
Below_Normal,Jun 2022,12.3419
Normal,Jun 2022,26.05494
Above_Normal,Jun 2022,61.60316
Below_Normal,Jul 2022,13.66593
Normal,Jul 2022,26.1051
Above_Normal,Jul 2022,60.22897
Below_Normal,Aug 2022,28.77608
Normal,Aug 2022,32.0183
Above_Normal,Aug 2022,39.20562
Below_Normal,Sep 2022,14.4921
Normal,Sep 2022,28.11226
Above_Normal,Sep 2022,57.39564
Below_Normal,Oct 2022,16.14644
Normal,Oct 2022,28.75236
Above_Normal,Oct 2022,55.1012
Below_Normal,Nov 2022,21.27166
Normal,Nov 2022,31.57012
Above_Normal,Nov 2022,47.15823
Below_Normal,Dec 2022,24.34488
Normal,Dec 2022,32.58807
Above_Normal,Dec 2022,43.06704
Below_Normal,Jan 2023,20.87061
Normal,Jan 2023,30.77987
Above_Normal,Jan 2023,48.34952
