Tercile Classes,Month Forecast Issued,Tercile Probability
Below_Normal,2017-02,32.96872
Normal,2017-02,31.91428
Above_Normal,2017-02,35.11701
Below_Normal,2017-03,30.36102
Normal,2017-03,34.55779
Above_Normal,2017-03,35.08119
Below_Normal,2017-04,30.49911
Normal,2017-04,32.79069
Above_Normal,2017-04,36.7102
Below_Normal,2017-05,34.06321
Normal,2017-05,31.11095
Above_Normal,2017-05,34.82584
Below_Normal,2017-06,33.03152
Normal,2017-06,29.08017
Above_Normal,2017-06,37.88831
Below_Normal,2017-07,35.23647
Normal,2017-07,31.08293
Above_Normal,2017-07,33.6806
Below_Normal,2017-08,30.44248
Normal,2017-08,30.24855
Above_Normal,2017-08,39.30897
Below_Normal,2017-09,41.37372
Normal,2017-09,32.30886
Above_Normal,2017-09,26.31741
Below_Normal,2017-10,31.01097
Normal,2017-10,33.65865
Above_Normal,2017-10,35.33038
Below_Normal,2017-11,41.71907
Normal,2017-11,30.54693
Above_Normal,2017-11,27.734
Below_Normal,2017-12,36.65028
Normal,2017-12,30.81167
Above_Normal,2017-12,32.53805
Below_Normal,2018-01,32.14288
Normal,2018-01,31.16202
Above_Normal,2018-01,36.69511
Below_Normal,2018-02,28.83624
Normal,2018-02,30.80471
Above_Normal,2018-02,40.35905
Below_Normal,2018-03,23.81988
Normal,2018-03,30.24672
Above_Normal,2018-03,45.9334
Below_Normal,2018-04,26.80931
Normal,2018-04,30.31379
Above_Normal,2018-04,42.87691
Below_Normal,2018-05,34.18323
Normal,2018-05,31.08283
Above_Normal,2018-05,34.73395
Below_Normal,2018-06,34.81179
Normal,2018-06,30.99563
Above_Normal,2018-06,34.19258
Below_Normal,2018-07,33.52295
Normal,2018-07,30.72399
Above_Normal,2018-07,35.75306
Below_Normal,2018-08,24.56921
Normal,2018-08,29.38193
Above_Normal,2018-08,46.04886
Below_Normal,2018-09,23.22236
Normal,2018-09,31.49687
Above_Normal,2018-09,45.28077
Below_Normal,2018-10,13.83648
Normal,2018-10,25.25431
Above_Normal,2018-10,60.90922
Below_Normal,2018-11,13.97826
Normal,2018-11,24.31663
Above_Normal,2018-11,61.70511
Below_Normal,2018-12,32.46794
Normal,2018-12,29.23914
Above_Normal,2018-12,38.29292
Below_Normal,2019-01,30.39687
Normal,2019-01,30.69339
Above_Normal,2019-01,38.90974
Below_Normal,2019-02,28.52524
Normal,2019-02,30.94993
Above_Normal,2019-02,40.52483
Below_Normal,2019-03,23.48853
Normal,2019-03,31.27238
Above_Normal,2019-03,45.23909
Below_Normal,2019-04,26.62231
Normal,2019-04,28.84876
Above_Normal,2019-04,44.52893
Below_Normal,2019-05,31.17655
Normal,2019-05,30.64208
